1592,F A PACHUCA 21 DE MARZO SUR,01598 - PAC_PAMS_21 DE MARZO SUR_01598,PAMS,Abierta,TULANCINGO,PACHUCA,1,FARMACIAS DEL AHORRO,N,21 DE MARZO SUR,,114 ,CENTRO,TULANCINGO,HIDALGO,TULANCINGO DE BRAVO,PROVINCIA,BAJIO
1590,F A PACHUCA LAZARO CARDENAS,01597 - PAC_PALC_LAZARO CARDENAS_01597,PALC,Abierta,TULANCINGO,PACHUCA,1,FARMACIAS DEL AHORRO,S,AVENIDA GENERAL LAZARO CARDENAS,,110 5,CENTRO,TULANCINGO,HIDALGO,TULANCINGO DE BRAVO,PROVINCIA,BAJIO
1813,F A PACHUCA LIBRAMIENTO,01619 - PAC_PALI_LIBRAMIENTO_01619,PALI,Abierta,TULANCINGO,PACHUCA,1,FARMACIAS DEL AHORRO,N,AVENIDA EMILIANO ZAPATA ESQ CON LIBRAMIENTO LA JOYA,,121,PLAN DE AYALA,TULANCINGO DE BRAVO,HIDALGO,TULANCINGO DE BRAVO,PROVINCIA,BAJIO
1591,F A PACHUCA 1ø DE MAYO,01596 - PAC_PAMY_1ERO DE MAYO_01596,PAMY,Abierta,TULANCINGO,PACHUCA,1,FARMACIAS DEL AHORRO,N,1ø DE MAYO,,106 ,CENTRO,TULANCINGO,HIDALGO,TULANCINGO DE BRAVO,PROVINCIA,BAJIO
2263,F A PACHUCA CATEDRAL,02040 - PAC_PACT_CATEDRAL_02040,PACT,Abierta,TULANCINGO,PACHUCA,1,FARMACIAS DEL AHORRO,S,INDEPENDENCIA,,101,CENTRO,TULANCINGO,HIDALGO,TULANCINGO DE BRAVO,PROVINCIA,BAJIO
320,F A TULA DE ALLENDE TULA,00192 - PAC_MXTU_TULA_00192,MXTU,Abierta,TULA DE ALLENDE,PACHUCA,1,FARMACIAS DEL AHORRO,S,MANUEL ROJO DEL RIO,,1-B ,TULA DE ALLENDE CENTRO,TULA DE ALLENDE,HIDALGO,TULA DE ALLENDE,PROVINCIA,BAJIO
578,F A TULA DE ALLENDE ZARAGOZA,00413 - PAC_PATU_ZARAGOZA_00413,PATU,Abierta,TULA DE ALLENDE,PACHUCA,1,FARMACIAS DEL AHORRO,S,PROLONGACION ZARAGOZA,,SN,CENTRO,TULA DE ALLENDE,HIDALGO,TULA DE ALLENDE,PROVINCIA,BAJIO
1133,F A TULA DE ALLENDE 5 DE MAYO,01059 - PAC_PA5M_5 DE MAYO_01059,PA5M,Abierta,TULA DE ALLENDE,PACHUCA,1,FARMACIAS DEL AHORRO,N,AVENIDA 5 DE MAYO,,15,CENTRO,TULA DE ALLENDE,HIDALGO,TULA DE ALLENDE,PROVINCIA,BAJIO
1213,F A TLAXCOAPAN TLAXCOAPAN         F,,FTXP,Cerrada,TLAXCOAPAN,PACHUCA,154,FRANQ. NE-HE,N,AV DEL TRABAJO,,7,TLAXCOAPAN CENTRO,TLAXCOAPAN,HIDALGO,TLAXCOAPAN,PROVINCIA,BAJIO
2013,F A PACHUCA TLAXCOAPAN,01850 - PAC_PATX_TLAXCOAPAN_01850,PATX,Abierta,TLAXCOAPAN,PACHUCA,1,FARMACIAS DEL AHORRO,S,AV DEL TRABAJO,,7,CENTRO,TLAXCOAPAN,HIDALGO,TLAXCOAPAN,PROVINCIA,BAJIO
671,F A TIZAYUCATIZAYUCA                            F,,F0VZ,Cerrada,TIZAYUCA,PACHUCA,84,FRANQ. TIZAYUCA,N,AV JUAREZ,,16,TIZAYUCA CENTRO,TIZAYUCA,HIDALGO,TIZAYUCA,PROVINCIA,BAJIO
1602,F A PACHUCA TIZAYUCA CENTRO,01601 - PAC_PATC_TIZAYUCA CENTRO_01601,PATC,Abierta,TIZAYUCA,PACHUCA,1,FARMACIAS DEL AHORRO,N,AVENIDA JUAREZ,,16,CENTRO,TIZAYUCA,HIDALGO,TIZAYUCA,PROVINCIA,BAJIO
975,F A TEPEJI DEL RIO TEPEJI        FC,,FEMT,Cerrada,TEPEJI DEL RIO,PACHUCA,135,FRANQ. TEPEJI,N,IGNACIO COMONFORT,,SIN NUMERO,TEPEJI DE OCAMPO CENTRO,TEPEJI DEL RIO,HIDALGO,TEPEJI DEL RIO DE OCAMPO,PROVINCIA,BAJIO
1447,F A TEPEJI DEL RIO TEPEJI II,01416 - PAC_PATE_TEPEJI II_01416,PATE,Abierta,TEPEJI DEL RIO,PACHUCA,1,FARMACIAS DEL AHORRO,S,IGNACIO COMONFORT ESQ. MELCHOR OCAMPO,,SN,EL EDEN,TEPEJI DEL RIO,HIDALGO,TEPEJI DEL RIO DE OCAMPO,PROVINCIA,BAJIO
1317,F A PACHUCA SAHAGUN          FC,,FSAH,Cerrada,PACHUCA,PACHUCA,165,FRANQ. LEALEN,N,CRISTOBAL DEL CASTILLO,,1-B,CARROS,CIUDAD DE FRAY BERNARDINO DE SAHAGUN,HIDALGO,TEPEAPULCO,PROVINCIA,BAJIO
1438,F A PACHUCA SAHAGUN II,01401 - PAC_PAS1_SAHAGUN II_01401,PAS1,Abierta,F. BERNARDINO DE SAHAGUN,PACHUCA,1,FARMACIAS DEL AHORRO,S,CRISTOBAL DEL CASTILLO,,1,CARROS,CD SAHAGUN,HIDALGO,TEPEAPULCO,PROVINCIA,BAJIO
313,F A PACHUCA SAN JAVIER,00407 - PAC_PASA_SAN JAVIER_00407,PASA,Abierta,PACHUCA,PACHUCA,1,FARMACIAS DEL AHORRO,S,CALZADA VALLE DE TULANCINGO,,603 MZ 4 L121314,VALLE DE SAN JAVIER,PACHUCA,HIDALGO,PACHUCA DE SOTO,PROVINCIA,BAJIO
334,F A PACHUCA EVERARDO MARQUEZ                    C,00619 - PAC_PAEV_EVERARDO MARQUEZ_00619,PAEV,Cerrada,PACHUCA,PACHUCA,1,FARMACIAS DEL AHORRO,N,BLVD EVERARDO MARQUEZ,,S/N,CONSTITUCION,PACHUCA DE SOTO,HIDALGO,PACHUCA DE SOTO,PROVINCIA,BAJIO
335,F A PACHUCA MARIANO MATAMOROS,00408 - PAC_PAMA_MARIANO MATAMOROS_00408,PAMA,Abierta,PACHUCA,PACHUCA,1,FARMACIAS DEL AHORRO,N,CALZADA ARIZPE,,101 ,CENTRO,PACHUCA DE SOTO,HIDALGO,PACHUCA DE SOTO,PROVINCIA,BAJIO
348,F A PACHUCA PLAZA CONSTITUCION,00411 - PAC_PACO_CONSTITUCION_00411,PACO,Abierta,PACHUCA,PACHUCA,1,FARMACIAS DEL AHORRO,N,AV CONSTITUCION,,100 ,CENTRO,PACHUCA DE SOTO,HIDALGO,PACHUCA DE SOTO,PROVINCIA,BAJIO
357,F A PACHUCA JUAREZ,00410 - PAC_PAJU_JUAREZ_00410,PAJU,Abierta,PACHUCA,PACHUCA,1,FARMACIAS DEL AHORRO,S,AV JUAREZ,,901-B,REVOLUCION,PACHUCA,HIDALGO,PACHUCA DE SOTO,PROVINCIA,BAJIO
792,F A PACHUCA EL PALMAR,00737 - PAC_PAPA_EL PALMAR_00737,PAPA,Abierta,PACHUCA,PACHUCA,1,FARMACIAS DEL AHORRO,S,AV FEDERALISMO,,1500 ,PARQUE DE POBLAMIENTO,PACHUCA DE SOTO,HIDALGO,PACHUCA DE SOTO,PROVINCIA,BAJIO
793,F A PACHUCA CONSTITUYENTES,00724 - PAC_PASC_CONSTITUYENTES_00724,PASC,Abierta,PACHUCA,PACHUCA,1,FARMACIAS DEL AHORRO,N,PLAN DE SAN LUIS,,250,CONSTITUCION,PACHUCA,HIDALGO,PACHUCA DE SOTO,PROVINCIA,BAJIO
979,F A PACHUCA COLOSIO,00900 - PAC_PACL_COLOSIO_00900,PACL,Abierta,PACHUCA,PACHUCA,1,FARMACIAS DEL AHORRO,S,BLVD LUIS DONALDO COLOSIO,,1902,SANTA JULIA AMPLIACION,PACHUCA,HIDALGO,PACHUCA DE SOTO,PROVINCIA,BAJIO
860,F A PACHUCA GOBIERNO,00803 - PAC_PAGO_GOBIERNO_00803,PAGO,Abierta,PACHUCA,PACHUCA,1,FARMACIAS DEL AHORRO,N,AV MADERO,A,100,REVOLUCION,PACHUCA,HIDALGO,PACHUCA DE SOTO,PROVINCIA,BAJIO
621,F A PACHUCA C DORIA,00414 - PAC_PACD_C DORIA_00414,PACD,Abierta,PACHUCA,PACHUCA,1,FARMACIAS DEL AHORRO,S,ALFONSO CORONA DEL ROSAL,,100 MZ 11 LT 32,PARQUE URBANO PACHOACAN,PACHUCA DE SOTO,HIDALGO,PACHUCA DE SOTO,PROVINCIA,BAJIO
314,F A PACHUCA HACIENDA LORETO,00409 - PAC_PAHA_HACIENDA LORETO_00409,PAHA,Abierta,PACHUCA,PACHUCA,1,FARMACIAS DEL AHORRO,N,RIO DE LAS AVENIDAS,,314-A,PERIODISTA,PACHUCA,HIDALGO,PACHUCA DE SOTO,PROVINCIA,BAJIO
312,F A PACHUCA HOSPITALES,00406 - PAC_PAHO_HOSPITALES_00406,PAHO,Abierta,PACHUCA,PACHUCA,1,FARMACIAS DEL AHORRO,S,CARRETERA TULANCINGO,,201,CANUTILLO,PACHUCA,HIDALGO,PACHUCA DE SOTO,PROVINCIA,BAJIO
1923,F A PACHUCA RELOJ,01637 - PAC_PARJ_RELOJ_01637,PARJ,Abierta,PACHUCA,PACHUCA,1,FARMACIAS DEL AHORRO,N,IGNACIO ALLENDE ESQ. DORIA,,300,CENTRO,PACHUCA DE SOTO,HIDALGO,PACHUCA DE SOTO,PROVINCIA,BAJIO
1046,F A PACHUCA INSURGENTES,00945 - PAC_PAIN_INSURGENTES_00945,PAIN,Abierta,PACHUCA,PACHUCA,1,FARMACIAS DEL AHORRO,S,AV REVOLUCION ESQ VICENTE SEGURA,,1316 ,FRACC. COLONIAL,PACHUCA DE SOTO,HIDALGO,PACHUCA DE SOTO,PROVINCIA,BAJIO
349,F A PACHUCA REVOLUCION,00412 - PAC_PARE_REVOLUCION_00412,PARE,Abierta,PACHUCA,PACHUCA,1,FARMACIAS DEL AHORRO,N,AV REVOLUCION,,601-A,PERIODISTA,PACHUCA,HIDALGO,PACHUCA DE SOTO,PROVINCIA,BAJIO
1201,F A MIXQUIAHUALA DE JUAREZ MIXQUIAHUALA         F,,FMIX,Cerrada,MIXQUIAHUALA DE JUAREZ,PACHUCA,152,FRANQ. MIXQUIAHUALA,S,PLAZA DE LA CONSTITUCION,,S/N,MIXQUIAHUALA CENTRO,,HIDALGO,MIXQUIAHUALA DE JUAREZ,PROVINCIA,BAJIO
1734,F A PACHUCA MIXQUIAHUALA,01698 - PAC_PAMX_MIXQUIAHUALA_01698,PAMX,Abierta,MIXQUIAHUALA DE JUAREZ,PACHUCA,1,FARMACIAS DEL AHORRO,S,PLAZA  DE  LA  CONSTITUCION,,S/N,CENTRO,MIXQUIAHUALA,HIDALGO,MIXQUIAHUALA DE JUAREZ,PROVINCIA,BAJIO
2397,F A PACHUCA UNIVERSIDAD,,PAUN,Cerrada,PACHUCA,PACHUCA,0,INDEFINIDO,S,CARR. PACHUCA-TULANCINGO,,KM 3,ALAMO RUSTICO,PACHUCA DE SOTO,HIDALGO,MINERAL DE LA REFORMA,PROVINCIA,BAJIO
2326,F A PACHUCA CHACON,02097 - PAC_PACH_CHACON_02097,PACH,Cerrada,PACHUCA,PACHUCA,1,FARMACIAS DEL AHORRO,S,BLVD. LUIS DONALDO COLOSIO,,2631,PRI CHACON,MINERAL DE LA REFORMA,HIDALGO,MINERAL DE LA REFORMA,PROVINCIA,BAJIO
572,F A IXMIQUILPAN IXMIQUILPAN                    FC,,F0IX,Cerrada,IXMIQUILPAN,PACHUCA,37,FRANQ. ACTOPAN,N,AV DOCTOR JESUS DEL ROSAL,A,43,IXMIQUILPAN CENTRO,IXMIQUILPAN,HIDALGO,IXMIQUILPAN,PROVINCIA,BAJIO
865,F A IXMIQUILPAN PARADERO,00802 - PAC_PARA_PARADERO_00802,PARA,Abierta,IXMIQUILPAN,PACHUCA,1,FARMACIAS DEL AHORRO,N,LAZARO CARDENAS,,1 LOCAL A,BO DE SAN ANTONIO,IXMIQUILPAN,HIDALGO,IXMIQUILPAN,PROVINCIA,BAJIO
1458,F A IXMIQUILPAN DIANA CAZADORA,01418 - PAC_PACZ_DIANA CAZADORA_01418,PACZ,Abierta,IXMIQUILPAN,PACHUCA,1,FARMACIAS DEL AHORRO,S,PLAZA JUAREZ,,11,CENTRO,IXMIQUILPAN,HIDALGO,IXMIQUILPAN,PROVINCIA,BAJIO
990,F A HUEJUTLA DE REYES HUEJUTLA F,,FFHJ,Cerrada,HUEJUTLA DE REYES,PACHUCA,139,FRANQ. HUEJUTLA,N,TORIBIO REYES,,2 ,JUAREZ,HUEJUTLA DE REYES,HIDALGO,HUEJUTLA DE REYES,PROVINCIA,BAJIO
2089,F A PACHUCA HUEJUTLA,01865 - PAC_PAHE_HUEJUTLA_01865,PAHE,Abierta,HUEJUTLA DE REYES,PACHUCA,1,FARMACIAS DEL AHORRO,S,TORIBIO REYES,,2 ,JUAREZ,HUEJUTLA DE REYES,HIDALGO,HUEJUTLA DE REYES,PROVINCIA,BAJIO
1325,F A APAN APAN          F,,FPAN,Cerrada,APAN,PACHUCA,166,FRANQ. ARCO NORTE,N,REFORMA NORTE,,6,APAN CENTRO,APAN,HIDALGO,APAN,PROVINCIA,BAJIO
1901,F A PACHUCA APAN,01807 - PAC_PAAN_APAN_01807,PAAN,Abierta,APAN,PACHUCA,1,FARMACIAS DEL AHORRO,N,REFORMA NORTE,,6,CENTRO,APAN,HIDALGO,APAN,PROVINCIA,BAJIO
432,F A ACTOPAN ACTOPAN                            FC,,FOAC,Cerrada,ACTOPAN,PACHUCA,37,FRANQ. ACTOPAN,N,VICENTE GUERRERO,,1,ACTOPAN CENTRO,ACTOPAN,HIDALGO,ACTOPAN,PROVINCIA,BAJIO
938,F A ACTOPAN ACTOPAN II,00866 - PAC_PAAC ACTOPAN II_00866,PAAC,Abierta,ACTOPAN,PACHUCA,1,FARMACIAS DEL AHORRO,N,PLAZA DE LA REFORMA,,5CUARTEL3,CENTRO,ACTOPAN HGO,HIDALGO,ACTOPAN,PROVINCIA,BAJIO
1233,F A GUADALAJARA RAFAEL SANZIO,01135 - GDL_GDRS_RAFAEL SANZIO_01135,GDRS,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,RAFAEL SANZIO,,202,LA ESTANCIA,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1236,F A GUADALAJARA VALDEPEÑAS,01133 - GDL_GDVL_VALDEPEÑA_01133,GDVL,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,AV DE LA MANCHA,,516 ,LOMAS DE ZAPOPAN,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1173,F A GUADALAJARA MERCADO BOLA,01064 - GDL_GDMB_MERCADO DE BOLA_01064,GDMB,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,N,AV VENUSTIANO CARRANZA,,949 ,CONSTITUCION,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1237,F A GUADALAJARA AV MEXICO,01134 - GDL_GDMX_AV MEXICO_01134,GDMX,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,MEXICO,,3700 ,UNIDAD MEXICO,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1263,F A GUADALAJARA CHARLES DICKENS,01168 - GDL_GDDK_CHARLES DICKENS_01168,GDDK,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,CARLOS DICKENS,,35 ,JARDINES DE LA PATRIA,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1266,F A GUADALAJARA NACIONES UNIDAS,01206 - GDL_GDNU_NACIONES UNIDAS_01206,GDNU,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,N,NACIONES UNIDAS,,5297 ,VALLARTA UNIVERSIDAD,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1183,F A GUADALAJARA TEPEYAC,00973 - GDL_GDTP_TEPEYAC_00973,GDTP,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,AV TEPEYAC,,4973 ,MIRADOR DEL SOL,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1204,F A GUADALAJARA TABACHINES,01112 - GDL_GDTB_TABACHINES_01112,GDTB,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,AV DE LOS TABACHINES,,3153 ,TABACHINES,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1230,F A GUADALAJARA CLOUTHIER,01035 - GDL_GDCL_CLOUTHIER_01035,GDCL,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,A LAS ROCAS,,203 ,PRADOS VALLARTA,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1265,F A GUADALAJARA CENTAURO        C,01204 - GDL_GDCE_CENTAURO_01204,GDCE,Cerrada,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,N,AV DE LA CALMA,,3295,RINCONADA DE LA CALMA,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1202,F A GUADALAJARA VALLARTA,01061 - GDL_GDVA_VALLARTA_01061,GDVA,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,AV VALLARTA,,6039 ,CIUDAD GRANJA,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1267,F A GUADALAJARA CAPRICHO         C,01216 - GDL_GDCP_CAPRICHO_01216,GDCP,Cerrada,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,N,AQUILES SERDAN,,129,SANTA ANA TEPETITLAN,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1354,F A GUADALAJARA PROLONGACION GUADALUPE,01242 - GDL_GDPG_PROLONGACION GUADALUPE_01242,GDPG,Cerrada,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,AV. PROLONGACION TEPEYAC,S/N,1054 Y 105,PARAISOS DEL COLLI,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1423,F A GUADALAJARA 18 DE MARZO,01338 - GDL_GD18_18 DE MARZO_01338,GD18,Cerrada,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,N,AV 18 DE MARZO,,1733,LAS AGUILAS,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1408,F A GUADALAJARA TORRE MADOL         C,01298 - GDL_GDTM_TORRE MADOL_01298,GDTM,Cerrada,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,AVENIDA MOCTEZUMA,,144,CIUDAD DEL SOL,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1397,F A GUADALAJARA ANDARES,01250 - GDL_GDAN_ANDARES_01250,GDAN,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,PATRIA,,2088 ,SANTA ISABEL,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1189,F A GUADALAJARA SANTA MARGARITA,01067 - GDL_GDMA_SANTA MARGARITA_01067,GDMA,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,AV RAMON CORONA,,4824 ,JARDIN REAL,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1576,F A GUADALAJARA LOS FRAYLES,01448 - GDL_GDLF_LOS FRAILES_01448,GDLF,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,AV ACUEDUCTO,,6050 ,LOMAS DEL BOSQUE,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1612,F A GUADALAJARA COPERNICO,01529 - GDL_GDCR_COPERNICO_01529,GDCR,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,AV. COPERNICO,,4209 ,ARBOLEDAS,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1577,F A GUADALAJARA ACUEDUCTO,01346 - GDL_GDAC_ACUEDUCTO_01346,GDAC,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,ACUEDUCTO,,3925,SANTA ISABEL,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1638,F A GUADALAJARA FELIPE ZETTER,01518 - GDL_GDFZ_FELIPE ZETTER_01518,GDFZ,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,FELIPE ZETTER,,2794,PASEOS DEL SOL,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1649,F A GUADALAJARA LAZARO CARDENAS,01508 - GDL_GDLC_LAZARO CARDENAS2_01508,GDLC,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,LAZARO CARDENAS,,2126 ,JARDINES DE SAN IGNACIO,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1674,DERMA GUADALAJARA CORDILLERAS,,T030,Cerrada,GUADALAJARA,GUADALAJARA,183,FARMACIAS DERMATOLÓGICAS,N,MANUEL J CLOUTHIER ,L 10 11 12,888 L 10 11 12,JARDINES DE GUADALUPE,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1677,DERMA GUADALAJARA PLAZA DEL SOL,,T022,Cerrada,GUADALAJARA,GUADALAJARA,183,FARMACIAS DERMATOLÓGICAS,N,ADOLFO LOPEZ MATEOS,L 16 Y 17,2375,CIUDAD DEL SOL,GUADALAJARA,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1863,F A GUADALAJARA MARIANO OTERO,01684 - GDL_GDOT_MARIANO OTERO_01684,GDOT,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,AVENIDA MARIANO OTERO,,3676 ,LA CALMA,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1861,F A GUADALAJARA SEMINARIO,01519 - GDL_GDSE_SEMINARIO_01519,GDSE,Cerrada,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,AV. PATRIA,,505 ,LOMAS DEL SEMINARIO,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1264,F A GUADALAJARA SAGITARIO,01184 - GDL_GDSA_SAGITARIO_01184,GDSA,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,LA CALMA,,3349 ,LA CALMA,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
2267,F A GUADALAJARA PATRIA UNIVERSIDAD,02043 - GDL_GDPU_PATRIA UNIVERSIDAD_02043,GDPU,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,AV. PATRIA,,574 A,JARDINES UNIVERSIDAD,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
2129,F A GUADALAJARA REAL CENTER,01908 - GDL_GDRL_REAL CENTER_01908,GDRL,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,CALZADA DEL SERVIDOR PUBLICO,,1389,RESIDENCIAL PONIENTE,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1435,F A GUADALAJARA CHARRASQUIS,01286 - GDL_GDCH_CHARRASQUIS_01286,GDCH,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,CHARRASQUIS,,5721,PASEOS DEL SOL 1A SECCION,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
2020,F A DERMA GUADALAJARA ACUEDUCTO,04150 - GDL_GDDA_ACUEDUCTO_04150,GDDA,Cerrada,ZAPOPAN,GUADALAJARA,1,FARMACIAS DEL AHORRO,N,AV. ACUEDUCTO,LOCAL 3,3925 LOCAL 3,COLINAS DE SAN JAVIER 2A SECCI,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1968,F A GUADALAJARA BUGAMBILIAS LOS PINOS,01770 - GDL_GDBU_BUGAMBILIAS LOS PINOS_01770,GDBU,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,LOPEZ MATEOS SUR,,1005,MIGUEL DE LA MADRID HURTADO,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1938,F A GUADAJARA LAURELES,01245 - GDL_GDLA_LAURELES_01245,GDLA,Cerrada,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,N,A,,A ,SAN ISIDRO EJIDAL,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1941,F A GUADALAJARA AZAHARES (CANCELADA),01301 - GDL_GDAZ_AZAHARES_01301,GDAZ,Cerrada,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,N,A,,A ,BUGAMBILIAS,NO ASIGNADA,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1778,DERMA GUADALAJARA ACUEDUCTO,,T069,Cerrada,ZAPOPAN,GUADALAJARA,183,FARMACIAS DERMATOLÓGICAS,N,AVENIDA ACUEDUCTO,LOCAL 3,3925,COLINAS DE SAN JAVIER 2A SECC,,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
2347,F A GUADALAJARA AVIACION VALLE REAL,02106 - GDN_GDAV_AVIACION VALLE REAL_02106,GDAV,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,CARRETERA A LA BASE AEREA,,3640,FRACC. BASE AEREA II,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
1971,F A GUADALAJARA MIXTON,01783 - GDL_GDMI_MIXTON_01783,GDMI,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,PROL DE LAS AMERICAS,,265-A ,SAN MIGUEL DE LA COLINA,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
2021,F A DERMA GUADALAJARA CORDILLERAS,04109 - GDL_GDCS_CORDILLERAS_04109,GDCS,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,N,J M CLUTHIER,L 10 11 12,888,JARDINES DE GUADALUPE,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
2025,F A DERMA GUADALAJARA PLAZA DEL SOL,04112 - GDL_GDSO_PLAZA SOL_04112,GDSO,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,N,AV.  LOPEZ MATEOS,1617ZA,2375,CIUDAD DEL SOL,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
2103,F A GUADALAJARA GUADALUPE,01863 - GDL_GDGD_GUADALUPE_01863,GDGD,Cerrada,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,AV. PATRIA,LOCAL 5,798,JARDINES DE GUADALUPE,GUADALAJARA,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
2104,F A GUADALAJARA JUAN PALOMAR,01864 - GDL_GDJU_PLAZA JUAN PALOMAR_01864,GDJU,Abierta,GUADALAJARA,GUADALAJARA,1,FARMACIAS DEL AHORRO,S,AV.JUAN PALOMAR Y ARIAS,2,577,VALLARTA UNIVERSIDAD,ZAPOPAN,JALISCO,ZAPOPAN,PROVINCIA,BAJIO
